ItemID	Response
1882	<![CDATA[<response><math xmlns="http://www.w3.org/1998/Math/MathML" title="26"><mstyle><mn>26</mn></mstyle></math></response>]]>
1883	<![CDATA[E,F]]>
1889	<![CDATA[<?xml version="1.0" encoding="UTF-8"?><AnswerSet><Question id=""><QuestionPart id="1"><ObjectSet><AtomicObject>{7(215,40)}</AtomicObject><AtomicObject>{-21(215,80)}</AtomicObject><AtomicObject>{-3(191,261)}</AtomicObject><AtomicObject>{7(246,260)}</AtomicObject><AtomicObject>{-7(246,330)}</AtomicObject><AtomicObject>{-21(215,180)}</AtomicObject></ObjectSet><SnapPoint>80@246,80;246,150;215,230;215,330;215,370;350,150;342,75;144,52;336,350;337,243;191,149</SnapPoint></QuestionPart></Question></AnswerSet>]]>
1899	<![CDATA[<response><math xmlns="http://www.w3.org/1998/Math/MathML" title="5"><mstyle><mn>5</mn></mstyle></math></response>]]>
1915	<![CDATA[<itemResponse><response id="RESPONSE"><value>1 b</value><value>2 a</value><value>3 b</value></response></itemResponse>]]>
1916	<![CDATA[<response><math xmlns="http://www.w3.org/1998/Math/MathML" title="a^6"><mstyle><mrow><msup><mi>a</mi><mn>6</mn></msup></mrow></mstyle></math></response>]]>
1926	<![CDATA[B,C]]>
1926	<![CDATA[B,C,D,E]]>
1927	<![CDATA[<responseSpec><responseTable><tr><th id="col0"/><th id="col1"/></tr><tr><td/><td/></tr><tr><td/><td/></tr><tr><td/><td>(0.25*0.25)</td></tr><tr><td/><td/></tr><tr><td/><td/></tr><tr><td/><td/></tr><tr><td/><td/></tr><tr><td/><td>(0.05)*(0.15)(0.15)</td></tr><tr><td/><td/></tr><tr><td/><td/></tr><tr><td/><td/></tr><tr><td/><td/></tr><tr><td/><td/></tr></responseTable></responseSpec>]]>
1927	<![CDATA[<responseSpec><responseTable><tr><th id="col0"/><th id="col1"/></tr><tr><td/><td/></tr><tr><td/><td/></tr><tr><td/><td>(0.25*0.25)</td></tr><tr><td/><td/></tr><tr><td/><td/></tr><tr><td/><td/></tr><tr><td/><td/></tr><tr><td/><td>(0.15)(0.15)</td></tr><tr><td/><td/></tr><tr><td/><td/></tr><tr><td/><td>(0.05)*(0.20)</td></tr><tr><td/><td/></tr><tr><td/><td/></tr></responseTable></responseSpec>]]>
1929	<![CDATA[<response><math xmlns="http://www.w3.org/1998/Math/MathML" title="\sqrt{\left(50\div18\right)}"><mstyle><msqrt><mrow><mrow><mo>(</mo><mn>50</mn><mo>ï¿½</mo><mn>18</mn><mo>)</mo></mrow></mrow></msqrt></mstyle></math><math xmlns="http://www.w3.org/1998/Math/MathML" title="-\sqrt{50\div18}"><mstyle><mo>-</mo><msqrt><mrow><mn>50</mn><mo>ï¿½</mo><mn>18</mn></mrow></msqrt></mstyle></math></response>]]>
1930	<![CDATA[<response><math xmlns="http://www.w3.org/1998/Math/MathML" title="45"><mstyle><mn>45</mn></mstyle></math></response>]]>
1936	<![CDATA[<itemResponse><response id="RESPONSE"><value>1 a</value><value>2 a</value><value>3 b</value><value>4 a</value></response></itemResponse>]]>
1936	<![CDATA[<itemResponse><response id="RESPONSE"><value>1 b</value></response></itemResponse>]]>
1948	<![CDATA[<?xml version="1.0" encoding="UTF-8"?><AnswerSet><Question id=""><QuestionPart id="1"><ObjectSet><Object><PointVector>{(239,263)}</PointVector><EdgeVector> {} </EdgeVector><LabelList> {} </LabelList><ValueList> {} </ValueList></Object><Object><PointVector>{(191,313)}</PointVector><EdgeVector> {} </EdgeVector><LabelList> {} </LabelList><ValueList> {} </ValueList></Object><Object><PointVector>{(317,202)}</PointVector><EdgeVector> {} </EdgeVector><LabelList> {} </LabelList><ValueList> {} </ValueList></Object></ObjectSet><SnapPoint></SnapPoint></QuestionPart></Question></AnswerSet>]]>
1956	<![CDATA[B]]>
1966	<![CDATA[<?xml version="1.0" encoding="UTF-8"?><AnswerSet><Question id=""><QuestionPart id="1"><ObjectSet><Object><PointVector>{(250,310)(250,260)(150,310)(150,260)}</PointVector><EdgeVector>{ {(250,310),(250,260)} {(150,310),(250,310)} {(150,260),(250,260)} {(150,310),(150,260)}}</EdgeVector><LabelList> {} </LabelList><ValueList> {} </ValueList></Object></ObjectSet><SnapPoint></SnapPoint><Lines><Line sourceX="250" sourceY="100" targetX="250" targetY="150" dir="none" style="solid"/><Line sourceX="150" sourceY="150" targetX="250" targetY="150" dir="none" style="solid"/><Line sourceX="150" sourceY="100" targetX="150" targetY="150" dir="none" style="solid"/><Line sourceX="150" sourceY="100" targetX="250" targetY="100" dir="none" style="solid"/></Lines></QuestionPart></Question></AnswerSet>]]>
1969	<![CDATA[<?xml version="1.0" encoding="UTF-8"?><AnswerSet><Question id=""><QuestionPart id="1"><ObjectSet><AtomicObject>{curve(323,239)}</AtomicObject></ObjectSet><SnapPoint></SnapPoint></QuestionPart></Question></AnswerSet>]]>
1972	<![CDATA[<?xml version="1.0" encoding="UTF-8"?><AnswerSet><Question id=""><QuestionPart id="1"><ObjectSet><AtomicObject>{2(73,287)}</AtomicObject><AtomicObject>{3(450,285)}</AtomicObject><AtomicObject>{4(100,287)}</AtomicObject><AtomicObject>{1(150,288)}</AtomicObject></ObjectSet><SnapPoint>100@50,123;73,123;100,123;124,123;150,122;174,122;249,123;273,122;298,122;199,123;424,124;398,124;372,126;350,124;324,123;226,124;74,382;189,382;303,382;411,382;450,125</SnapPoint></QuestionPart></Question></AnswerSet>]]>
1973	<![CDATA[C]]>
1975	<![CDATA[<response><math xmlns="http://www.w3.org/1998/Math/MathML" title="648"><mstyle><mn>648</mn></mstyle></math></response>]]>
1976	<![CDATA[<response><math xmlns="http://www.w3.org/1998/Math/MathML" title="3"><mstyle><mn>3</mn></mstyle></math></response>]]>
1978	<![CDATA[<response><math xmlns="http://www.w3.org/1998/Math/MathML" title="3ï¿½8-2"><mstyle><mn>3</mn><mo>ï¿½</mo><mn>8</mn><mo>-</mo><mn>2</mn></mstyle></math></response>]]>
1979	<![CDATA[<?xml version="1.0" encoding="UTF-8"?><AnswerSet><Question id=""><QuestionPart id="1"><ObjectSet><AtomicObject>{3(157,242)}</AtomicObject><AtomicObject>{1(252,242)}</AtomicObject><AtomicObject>{2(191,241)}</AtomicObject><RegionGroupObject name="g1" numselected="0"/><RegionGroupObject name="g2" numselected="1"><RegionObject name="a1" isselected="false"/><RegionObject name="a2" isselected="true"/></RegionGroupObject></ObjectSet><SnapPoint>60@157,168;191,169;221,168;252,168;284,169;315,168;348,168;156,100;187,100;218,100;250,100;281,100;312,100;344,100</SnapPoint></QuestionPart></Question></AnswerSet>]]>
1982	<![CDATA[<?xml version="1.0" encoding="UTF-8"?><AnswerSet><Question id=""><QuestionPart id="1"><ObjectSet><RegionGroupObject name="Column6" numselected="1"><RegionObject name="c6r2a" isselected="false"/><RegionObject name="c6r4a" isselected="true"/><RegionObject name="c6r6a" isselected="false"/><RegionObject name="c6r8a" isselected="false"/><RegionObject name="c6r10a" isselected="false"/><RegionObject name="c6r12a" isselected="false"/><RegionObject name="c6r14a" isselected="false"/><RegionObject name="c6r16a" isselected="false"/><RegionObject name="c6r18a" isselected="false"/><RegionObject name="c6r20a" isselected="false"/></RegionGroupObject><RegionGroupObject name="Column7" numselected="1"><RegionObject name="c7r2a" isselected="false"/><RegionObject name="c7r4a" isselected="false"/><RegionObject name="c7r6a" isselected="false"/><RegionObject name="c7r8aa" isselected="false"/><RegionObject name="c7r10a" isselected="false"/><RegionObject name="c7r12a" isselected="false"/><RegionObject name="c7r14a" isselected="false"/><RegionObject name="c7r16a" isselected="false"/><RegionObject name="c7r18a" isselected="true"/><RegionObject name="c7r20a" isselected="false"/></RegionGroupObject><RegionGroupObject name="c6r2" numselected="0"><RegionObject name="c6r2a" isselected="false"/></RegionGroupObject><RegionGroupObject name="62" numselected="0"/><RegionGroupObject name="c6r4" numselected="1"><RegionObject name="c6r4a" isselected="true"/></RegionGroupObject><RegionGroupObject name="c6r6" numselected="0"><RegionObject name="c6r6a" isselected="false"/></RegionGroupObject><RegionGroupObject name="c6r8" numselected="0"><RegionObject name="c6r8a" isselected="false"/></RegionGroupObject><RegionGroupObject name="c6r10" numselected="0"><RegionObject name="c6r10a" isselected="false"/></RegionGroupObject><RegionGroupObject name="c6r12" numselected="0"><RegionObject name="c6r12a" isselected="false"/></RegionGroupObject><RegionGroupObject name="c6r14" numselected="0"><RegionObject name="c6r14a" isselected="false"/></RegionGroupObject><RegionGroupObject name="c6r16" numselected="0"><RegionObject name="c6r16a" isselected="false"/></RegionGroupObject><RegionGroupObject name="c6r18" numselected="0"><RegionObject name="c6r18a" isselected="false"/></RegionGroupObject><RegionGroupObject name="c6r20" numselected="0"><RegionObject name="c6r20a" isselected="false"/></RegionGroupObject><RegionGroupObject name="c7r2" numselected="0"><RegionObject name="c7r2a" isselected="false"/></RegionGroupObject><RegionGroupObject name="c7r4" numselected="0"><RegionObject name="c7r4a" isselected="false"/></RegionGroupObject><RegionGroupObject name="c7r6" numselected="0"><RegionObject name="c7r6a" isselected="false"/></RegionGroupObject><RegionGroupObject name="c7r8" numselected="0"><RegionObject name="c7r8aa" isselected="false"/></RegionGroupObject><RegionGroupObject name="c7r10" numselected="0"><RegionObject name="c7r10a" isselected="false"/></RegionGroupObject><RegionGroupObject name="c7r12" numselected="0"><RegionObject name="c7r12a" isselected="false"/></RegionGroupObject><RegionGroupObject name="c7r14" numselected="0"><RegionObject name="c7r14a" isselected="false"/></RegionGroupObject><RegionGroupObject name="c7r16" numselected="0"><RegionObject name="c7r16a" isselected="false"/></RegionGroupObject><RegionGroupObject name="c7r18" numselected="1"><RegionObject name="c7r18a" isselected="true"/></RegionGroupObject><RegionGroupObject name="c7r20" numselected="0"><RegionObject name="c7r20a" isselected="false"/></RegionGroupObject></ObjectSet><SnapPoint></SnapPoint></QuestionPart></Question></AnswerSet>]]>
1983	<![CDATA[<response><math xmlns="http://www.w3.org/1998/Math/MathML" title="36.8"><mstyle><mn>36.8</mn></mstyle></math></response>]]>
1986	<![CDATA[<response><math xmlns="http://www.w3.org/1998/Math/MathML" title="100"><mstyle><mn>100</mn></mstyle></math></response>]]>
1987	<![CDATA[<response><math xmlns="http://www.w3.org/1998/Math/MathML" title="350"><mstyle><mn>350</mn></mstyle></math></response>]]>
1988	<![CDATA[<itemResponse><response id="RESPONSE"><value>1 b</value><value>2 b</value><value>3 a</value><value>4 b</value></response></itemResponse>]]>
1991	<![CDATA[<response><math xmlns="http://www.w3.org/1998/Math/MathML" title="20"><mstyle><mn>20</mn></mstyle></math></response>]]>
1996	<![CDATA[<response><math xmlns="http://www.w3.org/1998/Math/MathML" title="5+2+4+7+9+n=36"><mstyle><mn>5</mn><mo>+</mo><mn>2</mn><mo>+</mo><mn>4</mn><mo>+</mo><mn>7</mn><mo>+</mo><mn>9</mn><mo>+</mo><mi>n</mi><mo>=</mo><mn>36</mn></mstyle></math><math xmlns="http://www.w3.org/1998/Math/MathML" title="45+28"><mstyle><mn>45</mn><mo>+</mo><mn>28</mn></mstyle></math></response>]]>
1997	<![CDATA[A,B]]>
1998	<![CDATA[C]]>
1999	<![CDATA[<response><math xmlns="http://www.w3.org/1998/Math/MathML" title="&lt;0"><mstyle><mo>&lt;</mo><mn>0</mn></mstyle></math><math xmlns="http://www.w3.org/1998/Math/MathML" title="\ge0"><mstyle><mo>äŠ«</mo><mn>0</mn></mstyle></math></response>]]>
2001	<![CDATA[C]]>
2005	<![CDATA[B]]>
2005	<![CDATA[C]]>
2006	<![CDATA[B,C,D,F]]>
2015	<![CDATA[A,D]]>
2017	<![CDATA[<?xml version="1.0" encoding="UTF-8"?><AnswerSet><Question id=""><QuestionPart id="1"><ObjectSet><AtomicObject>{7(311,282)}</AtomicObject><AtomicObject>{6(217,281)}</AtomicObject><AtomicObject>{1(264,281)}</AtomicObject><AtomicObject>{10(123,282)}</AtomicObject><AtomicObject>{2(170,282)}</AtomicObject><AtomicObject>{5(378,281)}</AtomicObject><RegionGroupObject name="Options" numselected="1"><RegionObject name="Option1" isselected="false"/><RegionObject name="Option2" isselected="true"/><RegionObject name="Option3" isselected="false"/><RegionObject name="Option4" isselected="false"/></RegionGroupObject><RegionGroupObject name="AnsOption" numselected="1"><RegionObject name="Option1" isselected="false"/><RegionObject name="Option2" isselected="true"/></RegionGroupObject></ObjectSet><SnapPoint>40@123,128;170,128;217,129;311,128;378,129;264,129</SnapPoint></QuestionPart></Question></AnswerSet>]]>
2024	<![CDATA[D]]>
2029	<![CDATA[<?xml version="1.0" encoding="UTF-8"?><AnswerSet><Question id=""><QuestionPart id="1"><ObjectSet><AtomicObject>{5(125,141)}</AtomicObject><AtomicObject>{1(151,93)}</AtomicObject><AtomicObject>{2(168,93)}</AtomicObject><AtomicObject>{5(186,93)}</AtomicObject><AtomicObject>{6(375,139)}</AtomicObject><AtomicObject>{2(403,93)}</AtomicObject><AtomicObject>{1(419,93)}</AtomicObject><AtomicObject>{6(433,93)}</AtomicObject><RegionGroupObject name="PartB" numselected="1"><RegionObject name="True" isselected="false"/><RegionObject name="False" isselected="true"/><RegionObject name="CBD" isselected="false"/></RegionGroupObject></ObjectSet><SnapPoint>30@125,269;168,317;403,317;186,317;433,317;419,317;375,271;151,317</SnapPoint></QuestionPart></Question></AnswerSet>]]>
2032	<![CDATA[<response><math xmlns="http://www.w3.org/1998/Math/MathML" title="1.25"><mstyle><mn>1.25</mn></mstyle></math></response>]]>
2032	<![CDATA[<response><math xmlns="http://www.w3.org/1998/Math/MathML" title="264"><mstyle><mn>264</mn></mstyle></math></response>]]>
2059	<![CDATA[<response><math xmlns="http://www.w3.org/1998/Math/MathML" title="13"><mstyle><mn>13</mn></mstyle></math></response>]]>
2060	<![CDATA[<response><math xmlns="http://www.w3.org/1998/Math/MathML" title="20"><mstyle><mn>20</mn></mstyle></math></response>]]>
2060	<![CDATA[<response><math xmlns="http://www.w3.org/1998/Math/MathML" title=""><mstyle><mo></mo></mstyle></math></response>]]>
2061	<![CDATA[<p>120 to 150</p>]]>
2063	<![CDATA[<p>120+120 &lt; 2x&nbsp;</p><p>&nbsp;</p><p>120 &lt; x</p>]]>
2118	<![CDATA[A,C]]>
2118	<![CDATA[B,C]]>
2129	<![CDATA[<itemResponse><response id="EBSR1"></response><response id="EBSR2"></response></itemResponse>]]>
2129	<![CDATA[<itemResponse><response id="EBSR1"><value>B</value></response><response id="EBSR2"><value>D</value></response></itemResponse>]]>
2131	<![CDATA[A]]>
2131	<![CDATA[B]]>
2454	<![CDATA[<itemResponse><response id="RESPONSE"><value>1 a</value><value>1 b</value><value>1 c</value><value>2 c</value><value>3 a</value><value>3 b</value><value>4 a</value></response></itemResponse>]]>
2454	<![CDATA[<itemResponse><response id="RESPONSE"><value>1 a</value><value>1 b</value><value>1 c</value><value>2 c</value><value>3 a</value><value>3 b</value><value>4 a</value><value>4 b</value></response></itemResponse>]]>
2458	<![CDATA[<itemResponse><response id="EBSR1"><value>B</value></response><response id="EBSR2"><value>C</value></response></itemResponse>]]>
2462	<![CDATA[B]]>
2462	<![CDATA[C]]>
2462	<![CDATA[D]]>
2463	<![CDATA[D]]>
2467	<![CDATA[B]]>
2467	<![CDATA[C]]>
2467	<![CDATA[D]]>
2472	<![CDATA[D]]>
2491	<![CDATA[<itemResponse><response id="EBSR1"><value>B</value></response><response id="EBSR2"><value>A</value></response></itemResponse>]]>
2492	<![CDATA[<itemResponse><response id="EBSR1"><value>C</value></response><response id="EBSR2"><value>A</value></response></itemResponse>]]>
2493	<![CDATA[<itemResponse><response id="EBSR1"><value>A</value></response><response id="EBSR2"><value>B</value></response></itemResponse>]]>
2497	<![CDATA[<itemResponse><response id="RESPONSE"><value>1 b</value><value>2 c</value><value>3 b</value><value>4 a</value></response></itemResponse>]]>
2498	<![CDATA[<itemResponse><response id="RESPONSE"><value>1 a</value><value>2 c</value><value>3 b</value></response></itemResponse>]]>
2500	<![CDATA[C]]>
2510	<![CDATA[C]]>
2521	<![CDATA[B]]>
2521	<![CDATA[C]]>
2521	<![CDATA[D]]>
2524	<![CDATA[D]]>
2526	<![CDATA[A,E]]>
2529	<![CDATA[B]]>
2529	<![CDATA[C]]>
2529	<![CDATA[D]]>
2558	<![CDATA[<p>Being an astronaut is rewarding, but difficult work. For one thing, many of the tasks for astronauts are diverse and difficult. You&#39;re out so far in space that you can only rely on yourself and your teammates. Thus, not only do Astronauts have to be skilled, they have to rely on the skills of other qualified individuals as well. Different astronaunts have to do different things, like repair the ship or fly it (Source #1).<br />But there is also many general requirements that astronauts need to do.</p>]]>
2558	<![CDATA[<p>Being an astronaut is rewarding, but difficult work. For one thing, many of the tasks for astronauts are diverse and difficult. You&#39;re out so far in space that you can only rely on yourself and your teammates. Thus, not only do Astronauts have to be skilled, they have to rely on the skills of other qualified individuals as well. Different astronaunts have to do different things, like repair the ship or fly it (Source #1).<br />But there is also many general requirements that astronauts need to do. They need to keep themselves healthy and be able to adjust to changes in their body, because the space can change our body&#39;s muscles and structure due to the lack of gravity (Source #2).</p><p>&nbsp;</p><p>But if someone can make it through, they&#39;ll get to see the mesmerizing blue planet that we are on.</p>]]>
2558	<![CDATA[<p>Being an astronaut is rewarding, but difficult work. For one thing, many of the tasks for astronauts are diverse and difficult. You&#39;re out so far in space that you can only rely on yourself and your teammates. Thus, not only do Astronauts have to be skilled, they have to rely on the skills of other qualified individuals as well. Different astronaunts have to do different things, like repair the ship or fly it (Source #1).<br />But there is also many general requirements that astronauts need to do. They need to keep themselves healthy and be able to adjust to changes in their body, because the space can change our body&#39;s muscles and structure due to the lack of gravity (Source #2).</p><p>&nbsp;</p><p>But if someone can make it through, they&#39;ll get to see the mesmerizing blue planet that we</p>]]>
2558	<![CDATA[<p>Being an astronaut is rewarding, but difficult work. For one thing, many of the tasks for astronauts are diverse and</p>]]>
2561	<![CDATA[<itemResponse><response id="1"><value>2</value><value>6</value></response></itemResponse>]]>
2564	<![CDATA[<itemResponse><response id="1"><value>1</value><value>2</value><value>3</value><value>4</value><value>5</value></response></itemResponse>]]>
2564	<![CDATA[<itemResponse><response id="1"><value>3</value><value>1</value><value>2</value><value>5</value><value>4</value></response></itemResponse>]]>
2565	<![CDATA[<itemResponse><response id="9"><value>2</value><value>8</value></response></itemResponse>]]>
2567	<![CDATA[<itemResponse><response id="1"><value>4</value><value>6</value></response></itemResponse>]]>
2570	<![CDATA[<itemResponse><response id="1"><value>7</value><value>8</value></response></itemResponse>]]>
2572	<![CDATA[<itemResponse><response id="1"><value>2</value><value>5</value></response></itemResponse>]]>
2576	<![CDATA[<itemResponse><response id="1"><value>3</value></response></itemResponse>]]>
2577	<![CDATA[<itemResponse><response id="1"><value>1</value><value>2</value><value>3</value><value>4</value><value>5</value></response></itemResponse>]]>
2577	<![CDATA[<itemResponse><response id="1"><value>2</value><value>3</value><value>4</value><value>1</value><value>5</value></response></itemResponse>]]>
2578	<![CDATA[C]]>
2579	<![CDATA[E,F]]>
2590	<![CDATA[A]]>
2590	<![CDATA[B]]>
2590	<![CDATA[C]]>
2590	<![CDATA[D]]>
2591	<![CDATA[<itemResponse><response id="1"><value>1</value><value>7</value></response></itemResponse>]]>
2594	<![CDATA[B,C]]>
2595	<![CDATA[EIDs may sound like a good idea in theory, but there will always be people who can cheat or loopwhole the system. According to National technology bloger]]>
2595	<![CDATA[EIDs may sound like a good idea in theory, but there will always be people who can cheat or loopwhole the system. According to National technology blogger, EIDs can be hacked to show the wrong locations of people. This proves that EIDs are not a miracle cure to truancy. If anything, if it can be done, there will be students willing to replicate this process. In addition, according to a study of several Los Angeles high schools, EIDs can cause a rift between students and teachers. Students being to trust teachers less, indicating that EIDs can cause conflict or ]]>
2595	<![CDATA[EIDs may sound like a good idea in theory, but there will always be people who can cheat or loopwhole the system. According to National technology blogger, EIDs can be hacked to show the wrong locations of people. This proves that EIDs are not a miracle cure to truancy. If anything, if it can be done, there will be students willing to replicate this process. In addition, according to a study of several Los Angeles high schools, EIDs can cause a rift between students and teachers. Students being to trust teachers less, indicating that EIDs can cause conflict that may lead to more truancies or other misbehavior. ]]>
2597	<![CDATA[A]]>
2597	<![CDATA[B]]>
2601	<![CDATA[<itemResponse><response id="1"><value>1</value><value>2</value><value>3</value><value>4</value><value>5</value><value>6</value><value>7</value><value>9</value><value>8</value><value>10</value></response></itemResponse>]]>
2603	<![CDATA[C]]>
2604	<![CDATA[D,E]]>
2610	<![CDATA[B]]>
2610	<![CDATA[D]]>
2615	<![CDATA["Ups and Downs" is about how people in different points in their lives can change in disposition. There are many reasons for this, and the text goes into various detail about how these effects take place. ]]>
2616	<![CDATA[<itemResponse><response id="EBSR1"><value>A</value></response><response id="EBSR2"><value>A</value></response></itemResponse>]]>
2622	<![CDATA[C,D]]>
2624	<![CDATA[<itemResponse><response id="1"><value>1</value><value>4</value><value>5</value><value>6</value></response></itemResponse>]]>
2624	<![CDATA[<itemResponse><response id="1"><value>6</value></response></itemResponse>]]>
2626	<![CDATA[<itemResponse><response id="1"><value>2</value><value>6</value></response></itemResponse>]]>
2626	<![CDATA[<itemResponse><response id="1"><value>2</value><value>8</value></response></itemResponse>]]>
2627	<![CDATA[B,C]]>
2627	<![CDATA[B,D]]>
2627	<![CDATA[C,E]]>
2630	<![CDATA[The central idea of the text is that there are times in our lives where we just feel down. The author does this by focusing on the personal feelings of the interviees. ]]>
2630	<![CDATA[The central idea of the text is that there must be som]]>
2630	<![CDATA[The central idea of the text is that there must be something of value. ]]>
2635	<![CDATA[Source ]]>
2636	<![CDATA[The section "Naps for Certain Careers" in Source #2 is a very good section on how people with we]]>
2636	<![CDATA[The section "Naps for Certain Careers" in Source #2 is a very good section on how people with weird sleep cycles can recharge through short naps. The section talks about in one example how pilots who took short naps showed boosted alertness. Source #1 also has a section where it discusses when people sleep longer due to the fact that they might not be getting enough sleep.]]>
2637	<![CDATA[<itemResponse><response id="RESPONSE"><value>1 c</value><value>2 a</value><value>2 b</value><value>2 c</value><value>3 b</value></response></itemResponse>]]>
2638	<![CDATA[<p><u>Naps: Friend, Enemy, or neither? </u></p><p>&nbsp;</p><p>There has been a controversy about naps in recent years. Many people have been asking many good questions: how should we nap? When should we nap? Should we nap? I seek to try and answer these questions today.</p><p>&nbsp;</p><p>Starting on the duration of naps, most sources like a research professor by the name of David F. Dinges claim that even &quot;24 minutes improved their [residents in training] mental performance&quot;.</p>]]>
2638	<![CDATA[<p><u>Naps: Friend, Enemy, or neither? </u></p><p>&nbsp;</p><p>There has been a controversy about naps in recent years. Many people have been asking many good questions: how should we nap? When should we nap? Should we nap? I seek to try and answer these questions today.</p><p>&nbsp;</p><p>Starting on the duration of naps, most sources like a research professor by the name of David F. Dinges claim that even &quot;24 minutes improved their [residents in training] mental performance&quot; (source #2). Dr. Vesslor also cited this as a possible remedy to a student&#39;s problem of waking up groggy after a typical long nap in source #3. AnoMost studies seem to claim&nbsp;</p>]]>
2638	<![CDATA[<p><u>Naps: Friend, Enemy, or neither? </u></p><p>&nbsp;</p><p>There has been a controversy about naps in recent years. Many people have been asking many good questions: how should we nap? When should we nap? Should we nap? I seek to try and answer these questions today.</p><p>&nbsp;</p><p>Starting on the duration of naps, most sources like a research professor by the name of David F. Dinges claim that even &quot;24 minutes improved their [residents in training] mental performance&quot; (source #2). Dr. Vesslor also cited this as a possible remedy to a student&#39;s problem of waking up groggy after a typical long nap in source #3. Another study conducted by Harvard from Source #2 claims that 30 minute naps reduce heart disease.</p>]]>
2638	<![CDATA[<p><u>Naps: Friend, Enemy, or neither? </u></p><p>&nbsp;</p><p>There has been a controversy about naps in recent years. Many people have been asking many good questions: how should we nap? When should we nap? Should we nap?</p>]]>
2643	<![CDATA[<itemResponse><response id="RESPONSE"><value>1 b</value><value>2 a</value><value>2 b</value><value>3 a</value></response></itemResponse>]]>
2644	<![CDATA[Source #1 is a good contender ]]>
2644	<![CDATA[Source #1 is a powerful source to learn about all the aspects of what the responsbilities of an Astronaut is like. The source not only describes the effects of weightlessnes like in source #2, but also expands on how being an "astronaut" means different things to the ]]>
